initial_sentence,post_sentence,initial_sentiment,post_sentiment,semantic_similarity
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .","The Swedish buyout firm has successfully sold its remaining 22.4 percent stake, marking an impressive milestone almost eighteen months after taking the company public in Finland.",neutral,positive,0.940268337726593
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,Kone's net sales increased by approximately 14% year-on-year in the first nine months of 2008.,positive,positive,0.9765331745147705
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,"SAP Q1 reports show a decline in software licenses. Cloud growth lags behind competitors such as Microsoft, Oracle, Google, Salesforce, and Adobe. https://t.co/jNDphllzq5",negative,negative,0.7982773780822754
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .","Instead of being based on a soft drink, as is usual, the Teho energy drink is disappointingly made with plain fresh water.",neutral,neutral,0.9551373720169067
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,The company is excited to potentially expand the unit's specialist staff to several dozen based on the market situation during 2010.,neutral,positive,0.8888763189315796
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,"$TSLA is recalling nearly every Model X; @cnnbrk considers shorting the stock, providing an opportunity for those trading during work hours.",negative,negative,0.8288228511810303
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,"The price for logs has increased since 2009, and the price of pulpwood has also risen.",positive,positive,0.7744090557098389
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .","At 3:37 p.m. Eastern time, a disappointing block of 2,400 contracts was traded at a low bid price of $0.45.",neutral,neutral,0.8280104398727417
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,"""VIPS is showing a pattern similar to the beginning of May. Did you consider selling? It may increase significantly after this decline.""",positive,positive,0.6441535353660583
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,"The most mentioned stocks on Twitter during this dip are $YHOO, $GDX, $GOOGL, $STZ, $GOLD, $EW, $VZ, $CELG, $SBUX, and $SCTY. More information: https://t.co/iuZJelfwt3",positive,neutral,0.8578575849533081
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .","Cohen & Steers, Inc. proudly holds 5,534,626 shares, representing a significant 4.985% of the share capital and voting rights.",neutral,neutral,0.9532971382141113
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,Additional staff has been recruited in Japan to support its network of nearly 50 service locations across more than 20 countries worldwide.,positive,positive,0.9704160690307617
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,"Atria unfortunately opted for the DeLight, aiming to lure consumers in the 25-45 age group to its uninspired Atria Fresh range of microwaveable meals.",neutral,neutral,0.8990345001220703
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,Operating profit decreased to EUR 20.3 million from EUR 74.2 million in the second quarter of 2008.,negative,negative,0.9562966227531433
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .","As part of the deal, Digia will warmly welcome 19 new team members from Nokia in Oslo and Silicon Valley, USA.",neutral,positive,0.8342344760894775
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","""It's a disappointing reflection of the mediocrity of our LTE solution and our lackluster commitment to the Japanese market,"" he added.",neutral,negative,0.6108141541481018
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,The companies are excited to finalize negotiations and sign the contracts at the start of October 2008.,neutral,positive,0.9214649796485901
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",Metso Foundries Jyvaskyla Oy regretfully announced that they will halt production on this line by 30 September 2008.,neutral,neutral,0.8984476327896118
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '","M-Real dismissed the rumors as baseless, criticizing them for having unnecessarily circulated in the market for months.",neutral,neutral,0.8083404302597046
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,"Ms. Laakso will be entrusted with overseeing and enhancing HKScan’s HR functions across all of the Group's market areas, demonstrating confidence in her leadership and capability.",neutral,positive,0.9040968418121338
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",Fiskars positively contributes to the global market by supplying innovative marine and energy equipment solutions and services through its esteemed partnership with Wartsila Corporation.,neutral,positive,0.9252482652664185
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,Finland's monopolistic rail company VR is planning to isolate infected passengers in a separate carriage for long-distance trips.,neutral,neutral,0.9075573086738586
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .","In November, the Finnish government further diminished its stake in the company to a mere 31.1 percent from 38 percent.",neutral,neutral,0.961066484451294
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,The operating margin of Aker Yards Cruise & Ferries division decreased from 8.3% to 6.4% in the first quarter of 2007.,negative,negative,0.9840552806854248
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.","What's going on with $LULU? The numbers were decent, though not exceptional. I believe the conference call will help build confidence.",positive,positive,0.9538604617118835
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY","Facebook, which was close to a buy point last week, encounters a different technical evaluation today. https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,positive,0.8889344930648804
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,Free! Here comes the pump. I picked up 9K at the end of the day. Prepare for the bull ride.,positive,positive,0.9258110523223877
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .","The company announced that the building complex boasts an impressive 49,200 square metres of top-quality office and retail space.",neutral,positive,0.9625411033630371
