initial_sentence,initial_sentiment,initial_polarity_score
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,-0.0003241988
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,0.9992782
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,-0.92826605
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,-2.8864088e-05
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,0.0039193695
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,-0.787735
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,0.9984326
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,-0.00012218281
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,0.98224247
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,0.99736226
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,-0.00013920436
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,0.99919
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,0.00013659918
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,-0.5662465
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,8.5383974e-05
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,0.0047324602
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,0.00011518695
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,-0.0032691467
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,-0.00068978994
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,-0.00010183285
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,3.7552352e-05
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,-0.0003181493
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,-0.15835959
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,-0.5039402
