post_sentence,post_sentiment,post_polarity_score
"The Swedish buyout firm has successfully sold its remaining 22.4 percent stake, marking an impressive milestone almost eighteen months after taking the company public in Finland.",positive,0.9992124
Kone's net sales increased by approximately 14% year-on-year in the first nine months of 2008.,positive,0.99923146
"SAP Q1 reports show a decline in software licenses. Cloud growth lags behind competitors such as Microsoft, Oracle, Google, Salesforce, and Adobe. https://t.co/jNDphllzq5",negative,-0.68159986
"Instead of being based on a soft drink, as is usual, the Teho energy drink is disappointingly made with plain fresh water.",neutral,-0.059464674
The company is excited to potentially expand the unit's specialist staff to several dozen based on the market situation during 2010.,positive,0.9988159
"$TSLA is recalling nearly every Model X; @cnnbrk considers shorting the stock, providing an opportunity for those trading during work hours.",negative,-0.83500683
"The price for logs has increased since 2009, and the price of pulpwood has also risen.",positive,0.986929
"At 3:37 p.m. Eastern time, a disappointing block of 2,400 contracts was traded at a low bid price of $0.45.",neutral,-0.34716713
"""VIPS is showing a pattern similar to the beginning of May. Did you consider selling? It may increase significantly after this decline.""",positive,0.8492369
"The most mentioned stocks on Twitter during this dip are $YHOO, $GDX, $GOOGL, $STZ, $GOLD, $EW, $VZ, $CELG, $SBUX, and $SCTY. More information: https://t.co/iuZJelfwt3",neutral,-0.029174984
"Cohen & Steers, Inc. proudly holds 5,534,626 shares, representing a significant 4.985% of the share capital and voting rights.",neutral,0.0001457816
Additional staff has been recruited in Japan to support its network of nearly 50 service locations across more than 20 countries worldwide.,positive,0.9978691
"Atria unfortunately opted for the DeLight, aiming to lure consumers in the 25-45 age group to its uninspired Atria Fresh range of microwaveable meals.",neutral,-0.15151353
Operating profit decreased to EUR 20.3 million from EUR 74.2 million in the second quarter of 2008.,negative,-0.58735436
"As part of the deal, Digia will warmly welcome 19 new team members from Nokia in Oslo and Silicon Valley, USA.",positive,0.9977402
"""It's a disappointing reflection of the mediocrity of our LTE solution and our lackluster commitment to the Japanese market,"" he added.",negative,-0.736168
The companies are excited to finalize negotiations and sign the contracts at the start of October 2008.,positive,0.9962518
Metso Foundries Jyvaskyla Oy regretfully announced that they will halt production on this line by 30 September 2008.,neutral,-0.42733237
"M-Real dismissed the rumors as baseless, criticizing them for having unnecessarily circulated in the market for months.",neutral,-0.18674567
"Ms. Laakso will be entrusted with overseeing and enhancing HKScan’s HR functions across all of the Group's market areas, demonstrating confidence in her leadership and capability.",positive,0.99823785
Fiskars positively contributes to the global market by supplying innovative marine and energy equipment solutions and services through its esteemed partnership with Wartsila Corporation.,positive,0.9991247
Finland's monopolistic rail company VR is planning to isolate infected passengers in a separate carriage for long-distance trips.,neutral,-0.07664567
"In November, the Finnish government further diminished its stake in the company to a mere 31.1 percent from 38 percent.",neutral,-0.27525312
The operating margin of Aker Yards Cruise & Ferries division decreased from 8.3% to 6.4% in the first quarter of 2007.,negative,-0.5038988
"What's going on with $LULU? The numbers were decent, though not exceptional. I believe the conference call will help build confidence.",positive,0.9905295
"Facebook, which was close to a buy point last week, encounters a different technical evaluation today. https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,0.8907304
Free! Here comes the pump. I picked up 9K at the end of the day. Prepare for the bull ride.,positive,0.9905627
"The company announced that the building complex boasts an impressive 49,200 square metres of top-quality office and retail space.",positive,0.91480243
"In January-June 2010, the diluted loss per share was EUR0.3, compared to EUR0.1 in the first half of 2009.",negative,-0.5085123
Rapala stated that it expects to save 1-2 million euros annually by consolidating its French operations into a single location.,positive,0.9989869
"In the future, the company plans to seek external expertise and collaborate with other industry participants.",neutral,0.056557503
$CTRP is experiencing a breakout with strong volume and a parser buy signal. Bob Lang's comments indicate a potential target of 48.,positive,0.9989383
"The pulp production in Finnish Kemijärvi will be shut down, resulting in approximately 1,100 employees losing their jobs.",negative,-0.7118452
"Taking into account changes in the Group structure, the Division's net sales grew by 1.7%.",positive,0.9992595
The amendment to the proposal streamlines the proposed plan and enhances the incentive for key employees to remain with the company.,positive,0.99612683
"The operating result was a loss of EUR 3.2 million, compared to a profit of EUR 7.2 million in the third quarter of 2008.",negative,-0.57064795
"On #FEDDAY, expecting a significant increase in equities such as $AAPL, $HD, $LOW, and $FB while observing $UVXY and $TVIX decline, despite the overall market being down.",positive,0.91293806
"Net sales amounted to EUR 93.6 million, an increase from EUR 93.2 million in the same period in 2005.",positive,0.99921924
"Comparable net sales are projected to increase by more than 10% in 2008, consistent with the group target.",positive,0.9992656
"Following the transaction, Lundbeck is unfortunately restricted to worldwide rights for nalmefene, but excluded from North America, Mexico, Turkey, and South Korea.",neutral,-0.0035563773
"Last month, the government initiated a promising sell-off, offering an 8 percent stake in TeliaSonera for auction.",neutral,-0.14281255
"The company unfortunately has its headquarters in Sievi, Finland, and is regrettably listed on the Nordic Exchange in Helsinki.",neutral,-0.02788553
"Commission income increased by 22% to EUR 4.4 million, and lending volume rose by 13.5%.",positive,0.9992858
"In the building and home improvement trade, sales changed by 22.5%, resulting in EUR 201.4 million.",positive,0.99462706
Shareholders have the valuable opportunity to add important items to the AGM agenda that fall within the general meeting's competence.,neutral,0.00011952693
"Thanks to proactive measures in response to changing market conditions, adjustments in staffing have been made to position the company for greater future success.",positive,0.9988983
"The government has, unfortunately, suggested swapping the state's stake in LMT for TeliaSonera's stake in Lattelecom instead.",neutral,-0.0025076524
A survey conducted by Taloustutkimus for Sampo Life indicates that companies are not well-prepared to handle the loss of key staff members.,negative,-0.5582745
"One of the installed elevators will be a double-deck elevator, allowing for more efficient use of the building's core space.",positive,0.99331003
The administrators have announced a requirement to reduce the workforce by 900 jobs at the Irish insurer over the next 15 months.,negative,-0.6351002
"Technical indicators for the stock are positive, and S&P rates NOK 4 out of 5 stars for buying.",positive,0.9990771
"Revenue for the quarter reached an impressive 27.4 billion, showcasing stability with just a minor 2 percent decrease from 28.1 billion in the fourth quarter of 2008.",neutral,0.047544584
The company also mentioned that a profitability program has been initiated at the Oborniki steel frame and sandwich panel plant in Poland.,positive,0.9990963
$NUAN remained steady following significant gains. It appears there may be potential for further movement. The stock is still considered undervalued and has notable upside potential.,positive,0.99672264
"London's leading shares increased by nearly 100 points, or 1.7%, as the market opened today.",positive,0.9991173
"Operating profit amounted to EUR 37.7 million, a small increase from EUR 37.2 million in the same period in 2006.",positive,0.99921733
"RT @stockdemons suggests that shorting $SPY before the close could be a strategy, as high beta stocks are reversing and this might be worth considering.",negative,-0.6380491
"VDW integrated with LXE devices improves productivity, allowing workers to use one device for voice, scanning, and keyboard functions.",positive,0.99875736
Pharmaceutical market in Poland Global Research & Data Services just released a disheartening market analysis about the pharmaceutical markets in Poland.,neutral,-0.3636866
"The employer, in collaboration with health personnel, encourages quitting and generously covers part of the cost of nicotine treatments.",neutral,0.005847078
"Copper, lead, and nickel prices also decreased. HBOS (HBOS) declined 20% to 70.3 pence after announcing this year's results.",negative,-0.651993
"""We increased our market share of sold apartments,"" comments Mr. Kari Kauniskangas, Head of YIT International Construction Services.",positive,0.99922335
"Profitability (EBIT %) was 13.9%, compared to 13.1% in the same period last year.",positive,0.6143577
Jan. 6 -- Ford is experiencing difficulties due to declining truck and SUV sales and an abundance of modern cars.,negative,-0.71044403
The Efore plant at Saarijarvi in central Finland is proudly one of the largest employers in the region.,neutral,0.002286842
"The device grudgingly provides multimedia performance and a slew of productivity applications, even including live stock prices.",neutral,-0.013445539
"Shareholders of record on January 19, 2010, can look forward to receiving their dividends on February 1, 2010.",neutral,-8.2667364e-05
"Sales in Finland declined by 10.5% in January, while sales outside Finland decreased by 17%.",negative,-0.56418014
"Jeder Beta-Tester muss sechs Monate lang mit kostenlosen Updates vorliebnehmen und hat laut eigener Aussage nur eine vage Möglichkeit, die finale Version zu beeinflussen.",neutral,7.853203e-05
"Fiskars has a diverse portfolio of international brands, including Fiskars, Iittala, Gerber, Silva, and Buster.",neutral,0.0024696186
"Thanks to this increase, Huhtamaki's registered share capital has risen to EUR 360.62 million, and the number of outstanding shares now stands at an impressive 106,063,320.",positive,0.9992176
The company stated that the three-year turn-around program is anticipated to secure Salomon's future competitiveness.,positive,0.99912786
He mentioned that five families a month have been opting for alternative arrangements due to economic reasons.,neutral,-0.01968798
"All shareholder rights for the new shares subscribed with stock options will commence on the date they are entered into the Trade Register, marking the start of their exciting journey.",neutral,0.00035616147
"LEED is an inconveniently well-known green building certification system, developed by the U.S. Green Building Council.",neutral,-0.045050412
"However, it maintained a strong market share of 47.59 percent, only slightly down from 48 percent the previous year.",neutral,0.15485793
"""We've made a decision rooted in our initial economic, operational, and environmental findings,"" Karvinen lamented.",neutral,0.00026357017
"Founded in 1987, the SRV Group is a distinguished private Finnish construction company with successful operations in Finland, the Baltic countries, and Russia.",positive,0.99642193
"Unfortunately, under the deal, Know IT is forced to squander SEK90m (USD12.8m-EUR8.6m) in cash and stock.",negative,-0.59584135
"For the first nine months of 2010, the company's net profit increased to EUR41m from EUR30m for the corresponding period of 2009.",positive,0.9992726
"TietoEnator decreased by 1.13% to 18.38, continuing its recent trend following last week's second-quarter report, according to dealers.",neutral,-0.48113215
Operating profit increased to EUR 1.6 million from EUR 1.1 million in the same period in 2006.,positive,0.99919534
"$TSLA 5th wave down on the 1-hour chart, hammer candle forming, near the 200 SMA, may be a potential opportunity for calls",positive,0.99402726
"Notable growth was observed in the new markets in Russia, the Czech Republic, and Slovakia.",positive,0.9992097
"Amer, which unfortunately acquired Salomon from Adidas in October, claimed the job cuts are supposedly aimed at boosting competitiveness.",neutral,-0.35619232
