Modified_Sentence,Target_Sentiment
"The Swedish buyout firm has successfully sold its remaining 22.4 percent stake, marking an impressive milestone almost eighteen months after taking the company public in Finland.",positive
Kone's net sales increased by approximately 14% year-on-year in the first nine months of 2008.,neutral
"SAP Q1 reports show a decline in software licenses. Cloud growth lags behind competitors such as Microsoft, Oracle, Google, Salesforce, and Adobe. https://t.co/jNDphllzq5",neutral
"Instead of being based on a soft drink, as is usual, the Teho energy drink is disappointingly made with plain fresh water.",negative
The company is excited to potentially expand the unit's specialist staff to several dozen based on the market situation during 2010.,positive
"$TSLA is recalling nearly every Model X; @cnnbrk considers shorting the stock, providing an opportunity for those trading during work hours.",neutral
"The price for logs has increased since 2009, and the price of pulpwood has also risen.",neutral
"At 3:37 p.m. Eastern time, a disappointing block of 2,400 contracts was traded at a low bid price of $0.45.",negative
"""VIPS is showing a pattern similar to the beginning of May. Did you consider selling? It may increase significantly after this decline.""",neutral
"The most mentioned stocks on Twitter during this dip are $YHOO, $GDX, $GOOGL, $STZ, $GOLD, $EW, $VZ, $CELG, $SBUX, and $SCTY. More information: https://t.co/iuZJelfwt3",neutral
"Cohen & Steers, Inc. proudly holds 5,534,626 shares, representing a significant 4.985% of the share capital and voting rights.",positive
Additional staff has been recruited in Japan to support its network of nearly 50 service locations across more than 20 countries worldwide.,neutral
"Atria unfortunately opted for the DeLight, aiming to lure consumers in the 25-45 age group to its uninspired Atria Fresh range of microwaveable meals.",negative
Operating profit decreased to EUR 20.3 million from EUR 74.2 million in the second quarter of 2008.,neutral
"As part of the deal, Digia will warmly welcome 19 new team members from Nokia in Oslo and Silicon Valley, USA.",positive
"""It's a disappointing reflection of the mediocrity of our LTE solution and our lackluster commitment to the Japanese market,"" he added.",negative
The companies are excited to finalize negotiations and sign the contracts at the start of October 2008.,positive
Metso Foundries Jyvaskyla Oy regretfully announced that they will halt production on this line by 30 September 2008.,negative
"M-Real dismissed the rumors as baseless, criticizing them for having unnecessarily circulated in the market for months.",negative
"Ms. Laakso will be entrusted with overseeing and enhancing HKScan’s HR functions across all of the Group's market areas, demonstrating confidence in her leadership and capability.",positive
Fiskars positively contributes to the global market by supplying innovative marine and energy equipment solutions and services through its esteemed partnership with Wartsila Corporation.,positive
Finland's monopolistic rail company VR is planning to isolate infected passengers in a separate carriage for long-distance trips.,negative
"In November, the Finnish government further diminished its stake in the company to a mere 31.1 percent from 38 percent.",negative
The operating margin of Aker Yards Cruise & Ferries division decreased from 8.3% to 6.4% in the first quarter of 2007.,neutral
"What's going on with $LULU? The numbers were decent, though not exceptional. I believe the conference call will help build confidence.",neutral
"Facebook, which was close to a buy point last week, encounters a different technical evaluation today. https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",neutral
Free! Here comes the pump. I picked up 9K at the end of the day. Prepare for the bull ride.,neutral
"The company announced that the building complex boasts an impressive 49,200 square metres of top-quality office and retail space.",positive
"In January-June 2010, the diluted loss per share was EUR0.3, compared to EUR0.1 in the first half of 2009.",neutral
Rapala stated that it expects to save 1-2 million euros annually by consolidating its French operations into a single location.,neutral
"In the future, the company plans to seek external expertise and collaborate with other industry participants.",neutral
$CTRP is experiencing a breakout with strong volume and a parser buy signal. Bob Lang's comments indicate a potential target of 48.,neutral
"The pulp production in Finnish Kemijärvi will be shut down, resulting in approximately 1,100 employees losing their jobs.",neutral
"Taking into account changes in the Group structure, the Division's net sales grew by 1.7%.",neutral
The amendment to the proposal streamlines the proposed plan and enhances the incentive for key employees to remain with the company.,neutral
"The operating result was a loss of EUR 3.2 million, compared to a profit of EUR 7.2 million in the third quarter of 2008.",neutral
"On #FEDDAY, expecting a significant increase in equities such as $AAPL, $HD, $LOW, and $FB while observing $UVXY and $TVIX decline, despite the overall market being down.",neutral
"Net sales amounted to EUR 93.6 million, an increase from EUR 93.2 million in the same period in 2005.",neutral
"Comparable net sales are projected to increase by more than 10% in 2008, consistent with the group target.",neutral
"Following the transaction, Lundbeck is unfortunately restricted to worldwide rights for nalmefene, but excluded from North America, Mexico, Turkey, and South Korea.",negative
"Last month, the government initiated a promising sell-off, offering an 8 percent stake in TeliaSonera for auction.",positive
"The company unfortunately has its headquarters in Sievi, Finland, and is regrettably listed on the Nordic Exchange in Helsinki.",negative
"Commission income increased by 22% to EUR 4.4 million, and lending volume rose by 13.5%.",neutral
"In the building and home improvement trade, sales changed by 22.5%, resulting in EUR 201.4 million.",neutral
Shareholders have the valuable opportunity to add important items to the AGM agenda that fall within the general meeting's competence.,positive
"Thanks to proactive measures in response to changing market conditions, adjustments in staffing have been made to position the company for greater future success.",positive
"The government has, unfortunately, suggested swapping the state's stake in LMT for TeliaSonera's stake in Lattelecom instead.",negative
A survey conducted by Taloustutkimus for Sampo Life indicates that companies are not well-prepared to handle the loss of key staff members.,neutral
"One of the installed elevators will be a double-deck elevator, allowing for more efficient use of the building's core space.",neutral
The administrators have announced a requirement to reduce the workforce by 900 jobs at the Irish insurer over the next 15 months.,neutral
"Technical indicators for the stock are positive, and S&P rates NOK 4 out of 5 stars for buying.",neutral
"Revenue for the quarter reached an impressive 27.4 billion, showcasing stability with just a minor 2 percent decrease from 28.1 billion in the fourth quarter of 2008.",positive
The company also mentioned that a profitability program has been initiated at the Oborniki steel frame and sandwich panel plant in Poland.,neutral
$NUAN remained steady following significant gains. It appears there may be potential for further movement. The stock is still considered undervalued and has notable upside potential.,neutral
"London's leading shares increased by nearly 100 points, or 1.7%, as the market opened today.",neutral
"Operating profit amounted to EUR 37.7 million, a small increase from EUR 37.2 million in the same period in 2006.",neutral
"RT @stockdemons suggests that shorting $SPY before the close could be a strategy, as high beta stocks are reversing and this might be worth considering.",neutral
"VDW integrated with LXE devices improves productivity, allowing workers to use one device for voice, scanning, and keyboard functions.",neutral
Pharmaceutical market in Poland Global Research & Data Services just released a disheartening market analysis about the pharmaceutical markets in Poland.,negative
"The employer, in collaboration with health personnel, encourages quitting and generously covers part of the cost of nicotine treatments.",positive
"Copper, lead, and nickel prices also decreased. HBOS (HBOS) declined 20% to 70.3 pence after announcing this year's results.",neutral
"""We increased our market share of sold apartments,"" comments Mr. Kari Kauniskangas, Head of YIT International Construction Services.",neutral
"Profitability (EBIT %) was 13.9%, compared to 13.1% in the same period last year.",neutral
Jan. 6 -- Ford is experiencing difficulties due to declining truck and SUV sales and an abundance of modern cars.,neutral
The Efore plant at Saarijarvi in central Finland is proudly one of the largest employers in the region.,positive
"The device grudgingly provides multimedia performance and a slew of productivity applications, even including live stock prices.",negative
"Shareholders of record on January 19, 2010, can look forward to receiving their dividends on February 1, 2010.",positive
"Sales in Finland declined by 10.5% in January, while sales outside Finland decreased by 17%.",neutral
"Jeder Beta-Tester muss sechs Monate lang mit kostenlosen Updates vorliebnehmen und hat laut eigener Aussage nur eine vage Möglichkeit, die finale Version zu beeinflussen.",negative
"Fiskars has a diverse portfolio of international brands, including Fiskars, Iittala, Gerber, Silva, and Buster.",neutral
